ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Transcription,AlternativeValue,AlternativeTranscription
endepapuanewguinea-3-340-1,,endepapuanewguinea,3-340,sɨmell mägda,sɨmell mägda,,,Lindsey2019,,,standardorth,sɪmeɽ məɡda,phonetic
endepapuanewguinea-3-350-1,,endepapuanewguinea,3-350,sɨmell,sɨmell,,,Lindsey2019,,,standardorth,sɪmeɽ,phonetic
endepapuanewguinea-3-520-1,,endepapuanewguinea,3-520,pauro lla,pauro lla,,,Lindsey2019,,,standardorth,pawro ɽa,phonetic
endepapuanewguinea-3-540-1,,endepapuanewguinea,3-540,pauro mälla,pauro mälla,,,Lindsey2019,,,standardorth,pawro məɽa,phonetic
endepapuanewguinea-3-550-1,,endepapuanewguinea,3-550,pauro,pauro,,,Lindsey2019,,,standardorth,pawro,phonetic
endepapuanewguinea-3-580-1,,endepapuanewguinea,3-580,pama,pama,,,Lindsey2019,,,standardorth,pama,phonetic
endepapuanewguinea-3-581-1,,endepapuanewguinea,3-581,pa,pa,,,Lindsey2019,,,standardorth,pa,phonetic
endepapuanewguinea-3-582-1,,endepapuanewguinea,3-582,wiasara,wiasara,,,Lindsey2019,,,standardorth,wiasara,phonetic
endepapuanewguinea-3-583-1,,endepapuanewguinea,3-583,sawiya,sawiya,,,Lindsey2019,,,standardorth,sawija,phonetic
endepapuanewguinea-3-584-1,,endepapuanewguinea,3-584,inpiak,inpiak,,also: pidor,Lindsey2019,,,standardorth,inpiak,phonetic
endepapuanewguinea-3-585-1,,endepapuanewguinea,3-585,buindre,buindre,,,Lindsey2019,,,standardorth,buindre,phonetic
endepapuanewguinea-3-586-1,,endepapuanewguinea,3-586,kwangka,kwangka,,,Lindsey2019,,,standardorth,kwaŋka,phonetic
endepapuanewguinea-3-591-1,,endepapuanewguinea,3-591,titi,titi,,,Lindsey2019,,,standardorth,titi,phonetic
endepapuanewguinea-3-592-1,,endepapuanewguinea,3-592,bärke,bärke,,,Lindsey2019,,,standardorth,bərke,phonetic
endepapuanewguinea-3-594-1,,endepapuanewguinea,3-594,welwele,welwele,,,Lindsey2019,,,standardorth,welwele,phonetic
endepapuanewguinea-3-596-1,,endepapuanewguinea,3-596,ngokngok,ngokngok,,,Lindsey2019,,,standardorth,ŋokŋok,phonetic
endepapuanewguinea-3-610-1,,endepapuanewguinea,3-610,däräng,däräng,,,Lindsey2019,,,standardorth,dərəŋ,phonetic
endepapuanewguinea-3-620-1,,endepapuanewguinea,3-620,pus,pus,,,Lindsey2019,,,standardorth,pus,phonetic
endepapuanewguinea-3-622-1,,endepapuanewguinea,3-622,ngatengate,ngatengate,,also: dinggoll,Lindsey2019,,,standardorth,ŋateŋate,phonetic
endepapuanewguinea-3-630-1,,endepapuanewguinea,3-630,mäkat,mäkat,,also: zogam (long nose),Lindsey2019,,,standardorth,məkat,phonetic
endepapuanewguinea-3-650-1,,endepapuanewguinea,3-650,kollba,kollba,,,Lindsey2019,,,standardorth,koɽba,phonetic
endepapuanewguinea-3-652-1,,endepapuanewguinea,3-652,täkäll,täkäll,,,Lindsey2019,,,standardorth,təkəɽ,phonetic
endepapuanewguinea-3-653-1,,endepapuanewguinea,3-653,dänräp,dänräp,,,Lindsey2019,,,standardorth,dənrəp,phonetic
endepapuanewguinea-3-654-1,,endepapuanewguinea,3-654,llan kollkoll,llan kollkoll,,,Lindsey2019,,,standardorth,ɽan koɽkoɽ,phonetic
endepapuanewguinea-3-655-1,,endepapuanewguinea,3-655,kätt,kätt,,,Lindsey2019,,,standardorth,kəʈᶳ,phonetic
endepapuanewguinea-3-665-1,,endepapuanewguinea,3-665,dompak,dompak,,also: dombak,Lindsey2019,,,standardorth,dompak,phonetic
endepapuanewguinea-3-750-1,,endepapuanewguinea,3-750,ddia,ddia,,,Lindsey2019,,,standardorth,ɖᶼia,phonetic
endepapuanewguinea-3-810-1,,endepapuanewguinea,3-810,ziz,ziz,,,Lindsey2019,,,standardorth,ziz,phonetic
endepapuanewguinea-3-811-1,,endepapuanewguinea,3-811,käban,käban,,,Lindsey2019,,,standardorth,kəban,phonetic
endepapuanewguinea-3-812-1,,endepapuanewguinea,3-812,käp,käp,,,Lindsey2019,,,standardorth,kəp,phonetic
endepapuanewguinea-3-813-1,,endepapuanewguinea,3-813,tätäk,tätäk,,,Lindsey2019,,,standardorth,tətək,phonetic
endepapuanewguinea-3-814-1,,endepapuanewguinea,3-814,komo,komo,,,Lindsey2019,,,standardorth,komo,phonetic
endepapuanewguinea-3-815-1,,endepapuanewguinea,3-815,komo mogmog,komo mogmog,,,Lindsey2019,,,standardorth,komo moɡmoɡ,phonetic
endepapuanewguinea-3-816-1,,endepapuanewguinea,3-816,pogpog,pogpog,,,Lindsey2019,,,standardorth,poɡpoɡ,phonetic
endepapuanewguinea-3-817-1,,endepapuanewguinea,3-817,ankom,ankom,,"green. Also: tintɨrmoll (black), nätnät (brown).",Lindsey2019,,,standardorth,ankom,phonetic
endepapuanewguinea-3-818-1,,endepapuanewguinea,3-818,kungge,kungge,,,Lindsey2019,,,standardorth,kuŋɡe,phonetic
endepapuanewguinea-3-819-1,,endepapuanewguinea,3-819,kunggema,kunggema,,,Lindsey2019,,,standardorth,kuŋɡema,phonetic
endepapuanewguinea-3-820-1,,endepapuanewguinea,3-820,kaemne,kaemne,,,Lindsey2019,,,standardorth,kajmne,phonetic
endepapuanewguinea-3-821-1,,endepapuanewguinea,3-821,kaemnema,kaemnema,,,Lindsey2019,,,standardorth,kajmnema,phonetic
endepapuanewguinea-3-823-1,,endepapuanewguinea,3-823,pip,pip,,,Lindsey2019,,,standardorth,pip,phonetic
endepapuanewguinea-3-830-1,,endepapuanewguinea,3-830,allko,allko,,,Lindsey2019,,,standardorth,aɽko,phonetic
endepapuanewguinea-3-831-1,,endepapuanewguinea,3-831,pid,pid,,,Lindsey2019,,,standardorth,pid,phonetic
endepapuanewguinea-3-832-1,,endepapuanewguinea,3-832,bänz,bänz,,,Lindsey2019,,,standardorth,bənz,phonetic
endepapuanewguinea-3-840-1,,endepapuanewguinea,3-840,kupull,kupull,,,Lindsey2019,,,standardorth,kupuɽ,phonetic
endepapuanewguinea-3-850-1,,endepapuanewguinea,3-850,gullem,gullem,,,Lindsey2019,,,standardorth,ɡuɽem,phonetic
endepapuanewguinea-3-910-1,,endepapuanewguinea,3-910,tätmar,tätmar,,,Lindsey2019,,,standardorth,tətmar,phonetic
endepapuanewguinea-3-920-1,,endepapuanewguinea,3-920,apapi,apapi,,,Lindsey2019,,,standardorth,apapi,phonetic
endepapuanewguinea-3-930-1,,endepapuanewguinea,3-930,kok,kok,,,Lindsey2019,,,standardorth,kok,phonetic
endepapuanewguinea-3-940-1,,endepapuanewguinea,3-940,kantärpie,kantärpie,,,Lindsey2019,,,standardorth,kantərpie,phonetic
endepapuanewguinea-3-950-1,,endepapuanewguinea,3-950,pollgo,pollgo,,,Lindsey2019,,,standardorth,poɽɡo,phonetic
endepapuanewguinea-3-960-1,,endepapuanewguinea,3-960,pipllo,pipllo,,,Lindsey2019,,,standardorth,pipɽo,phonetic
endepapuanewguinea-3-970-1,,endepapuanewguinea,3-970,käza,käza,,,Lindsey2019,,,standardorth,kəza,phonetic
